0f121c|umov bl,[si]
0f121d|umov bl,[di]
0f121e0000|umov bl,[0x0]
0f121f|umov bl,[bx]
0f1224|umov ah,[si]
0f1225|umov ah,[di]
0f12260000|umov ah,[0x0]
0f1227|umov ah,[bx]
0f122c|umov ch,[si]
0f122d|umov ch,[di]
0f122e0000|umov ch,[0x0]
0f122f|umov ch,[bx]
0f1234|umov dh,[si]
0f1235|umov dh,[di]
0f12360000|umov dh,[0x0]
0f1237|umov dh,[bx]
0f123c|umov bh,[si]
0f123d|umov bh,[di]
0f123e0000|umov bh,[0x0]
0f123f|umov bh,[bx]
